,total_voxels,left_1,right_1,left_2,right_2,left_3,right_3,left_4,right_4,left_5,right_5,left_6,right_6,left_7,right_7,left_8,right_8,left_9,right_9,left_10,right_10,left_11,right_11,left_12,right_12
s0677,17000,0,0,0,0,0,0,0,0,0,0,0,0,23,0,918,226,202,1039,1947,2654,3145,2903,1997,1946
s0057,77649,0,0,0,0,0,0,934,1365,2000,2866,5429,4778,7704,8557,7364,7798,5977,6486,4698,4576,2892,3198,585,442
s0959,62822,1477,1626,2407,2318,2609,2894,3235,3525,3609,3728,4111,4033,4037,4035,2999,2963,2753,2709,2008,2069,1193,1227,499,758
s0379,10891,2007,1954,2277,2422,951,986,101,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0083,25488,40,354,999,426,2518,307,4626,108,4706,229,4921,282,3994,34,1652,6,206,0,0,6,13,52,9,0
s1049,89645,0,0,234,253,1030,1924,2709,3629,6038,7564,6775,8169,8471,8488,6403,6451,5277,5772,3317,4101,1442,1598,0,0
s0069,21593,0,0,0,0,0,0,0,0,0,0,1,0,343,0,1519,774,2101,1822,3046,3471,2860,2797,1338,1521
s0719,146038,3577,3597,3990,4166,4826,5143,6497,6517,7797,7774,8686,8667,9902,9637,8405,8288,6919,7316,5847,6309,3989,3914,2022,2253
s0372,96114,1677,1640,2739,2508,3286,3621,4244,4463,5357,5274,6182,6121,5894,6573,5304,5458,5008,4702,3875,3832,3081,3239,830,1206
s1196,11674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,50,853,827,2323,2499,1888,1851,532,596
s0499,98644,3038,2757,3311,3129,4098,4027,5107,5087,5519,5680,5955,6154,5879,5998,5223,5417,4875,5006,3504,3701,1814,2279,457,629
s1233,97108,3439,3504,2977,2861,3360,3187,4267,4906,5036,5674,6277,6158,6482,5798,5814,5127,5418,5079,3770,3375,1572,1753,642,632
s0461,123195,2364,2609,3938,4046,5078,4673,5634,5681,6418,6772,6426,7300,7912,7582,7237,6704,6013,6355,4734,4482,3444,3582,2166,2045
s1182,63809,2979,3110,2969,2878,2571,3086,3750,3565,4106,4604,4616,4884,4157,4616,3101,3558,1877,2396,181,805,0,0,0,0
s0296,2602,127,11,90,376,326,308,324,334,202,218,280,0,6,0,0,0,0,0,0,0,0,0,0,0
s1208,103019,1980,2274,3033,3238,3504,3521,4998,4853,6410,5502,6718,7097,6995,7219,5861,5636,4991,5143,4108,3688,2245,2267,973,765
s0763,118817,2394,3792,3859,4049,5104,4748,6143,5931,6429,6760,6595,7250,6932,7590,5567,6223,5163,5621,4503,4642,3310,3154,1385,1673
s0266,41060,0,0,0,0,0,0,0,0,0,0,1658,1115,2992,2894,3332,3061,4857,4573,5120,5096,2408,2368,861,725
s0568,624,180,352,31,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1380,83174,1693,1601,2520,2758,2920,2869,3837,3860,4251,4735,4808,4797,5260,5704,4601,5146,4256,4365,3470,3487,2298,2374,861,703
s0572,10410,1951,2002,2363,1895,1564,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0079,42064,3977,4298,4308,4341,4771,4986,4220,4542,2504,4001,0,116,0,0,0,0,0,0,0,0,0,0,0,0
s0095,126732,2876,3817,4314,4044,3840,3596,6874,7048,7822,7999,8910,8320,10308,9643,6126,7952,887,6219,1043,3989,1438,3379,2486,3802
s0671,75636,0,0,0,0,1086,1518,5354,5302,6257,7614,8067,8626,7427,7142,5200,4838,1571,3341,1223,1070,0,0,0,0
s1011,39764,3389,4630,3846,4187,3567,3377,3638,3167,3287,2659,2503,1505,9,0,0,0,0,0,0,0,0,0,0,0
s0621,184392,5097,4673,5178,5330,7016,7442,8253,7974,9475,9289,9761,10187,10011,11784,10828,10977,9410,8902,8313,7344,6164,5461,2789,2734
s1395,147892,3339,2775,4747,4896,5783,5808,7319,6658,8367,9038,9244,9940,10415,10000,7657,7960,6435,7700,5729,5941,3212,2908,1062,959
s0985,80226,2590,2283,2643,2737,3382,3549,4051,4253,4281,4314,4907,5133,4871,5072,4039,4408,3557,3774,3028,3101,1783,1666,391,413
s0972,20225,0,0,343,483,1611,579,4280,1032,5942,501,3477,182,1127,44,528,0,96,0,0,0,0,0,0,0
s0697,116382,2752,2569,4374,3860,4802,4951,6240,6004,7056,7210,7238,8030,9068,8787,6525,6828,4973,5299,3606,3574,1320,1316,0,0
s0001,9222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,357,562,515,947,1055,1184,1847,1139,1312
s0447,80229,1272,1602,2446,2181,2971,3210,3626,3698,4005,4043,4850,5034,5301,5126,4631,5024,4315,4428,3374,3410,1908,2552,660,562
s1394,33351,0,0,0,0,0,0,0,0,0,0,242,228,1639,1697,2085,2593,2923,2876,4809,5202,3130,3160,1431,1336
s1012,118243,3564,3619,3850,3722,4522,4799,5580,5647,7089,7347,7588,9023,6661,7581,5936,6169,5702,5146,4050,4147,2473,2861,613,554
s1043,19602,2608,2503,2641,2640,1565,1916,1721,1642,1446,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0878,115849,3369,3534,3840,3557,4068,4708,5268,5847,6203,6514,7387,7309,7234,7465,6117,6314,5090,5482,3846,4611,2948,3376,900,862
s0560,18696,0,0,0,0,0,0,0,0,0,0,688,612,1276,1427,1548,1403,1535,1795,2102,2015,1852,1820,250,373
s0903,100211,2759,3325,2762,3202,3455,2813,3579,4052,4770,5055,6177,6160,6485,6892,5650,5313,5257,5420,4114,4162,2807,2717,1455,1830
s0859,71049,1578,1839,2662,2899,2780,2854,3144,3434,4345,3156,4767,4365,4307,4369,3830,4262,3393,3691,2537,3009,1612,1575,408,233
s0354,119316,3394,3048,3379,3591,4425,4397,5904,5324,6784,6303,7870,7478,8268,8164,6355,7397,5159,6434,3955,4514,2343,2652,1097,1081
s1291,37715,0,0,0,0,0,0,13,21,1263,1380,2141,2354,3261,3312,3670,3888,3434,3258,2644,2918,1711,1608,396,443
s0303,123089,3244,3336,3941,3831,3999,4518,5496,6539,6900,7186,8130,7251,7772,8151,6094,6473,5812,5446,4629,4718,3476,3686,1275,1186
s0774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1226,71460,2103,1115,2092,1700,3629,3477,4135,4670,4555,4989,5321,5247,5313,5261,3465,4384,3361,3518,1303,1344,269,209,0,0
s0436,83881,3378,3190,2695,2964,3082,3068,3934,4022,4758,4658,5262,5189,4911,4719,4227,4816,3903,4084,3389,3834,1561,1527,374,336
s0435,16804,23,0,933,229,2352,35,4746,192,4006,9,1923,7,904,0,938,0,507,0,0,0,0,0,0,0
s0775,110540,3641,3643,3599,3729,4838,4975,5656,5864,6440,6865,7322,7351,7864,7632,6670,6334,4889,4778,3272,2724,1372,974,107,1
s1221,110475,1772,2319,2600,3268,4364,3889,4931,5266,6175,6249,6177,7094,7835,7557,5856,6447,5226,5513,4204,4282,3189,2984,1652,1626
s1035,62977,1467,1624,2433,2224,3008,3039,3438,3579,3261,3619,3663,3761,3555,3087,3043,3065,3041,3300,1955,2699,1524,1421,542,629
s0543,106331,3538,3597,3798,4077,4628,4728,5548,5738,5464,5590,6048,6112,6035,6044,5366,5641,5560,4883,3941,3946,2839,2604,483,123
s1350,78192,1221,1713,2544,2611,2898,3007,3882,3523,4123,4850,4901,5143,4870,4904,4593,4681,3419,3789,3143,3439,1762,1685,595,896
s1058,91053,2305,2172,3360,3686,3422,3418,4687,4913,5107,5265,5548,4323,5873,5241,4428,5145,3974,4810,3464,3493,2018,2134,1079,1188
s0487,70194,2044,2615,2538,2887,2593,2581,3477,3788,4123,4330,4577,4877,4133,4583,3454,3558,3041,3190,2268,2014,1337,1181,648,357
s0805,68548,1940,1855,2341,2210,2212,2467,2965,2900,3302,3597,3766,4105,3872,4101,3859,4150,3370,3609,3070,3594,1919,1997,601,746
s1289,143075,4262,3976,5052,4557,4810,4603,5862,5620,7402,6864,9155,8242,9542,8957,7794,7595,7289,6567,6162,6374,3746,4278,2194,2172
s0956,50874,0,0,0,0,275,98,2396,2827,3023,4365,3417,4936,3110,2838,3448,3946,3494,3002,3085,3001,1618,1670,47,278
s0791,23012,699,1129,1381,600,1927,563,2318,771,2479,747,2512,481,2140,436,1450,361,1188,244,507,252,186,233,255,153
s1024,98748,2526,2318,2801,2751,4057,3843,5150,5017,5568,5759,6300,6042,6223,5871,6151,5656,5132,4885,4039,3645,2203,1906,458,447
s0768,17064,0,0,0,0,0,0,0,0,0,0,2,0,700,569,1043,969,1523,994,2430,1633,2406,2308,1242,1245
s0492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1070,90841,2681,2552,2672,2876,3554,3546,4531,4747,4465,4904,5210,5603,5006,5022,4581,4898,4605,4914,3340,3162,2525,2670,1319,1458
s0898,81360,3095,2471,2496,2759,2757,3464,3492,3653,3966,4885,4984,5421,5517,5806,4381,4607,3900,4274,3102,3174,1495,1129,404,128
s0894,140885,3692,3515,4217,4536,5643,5794,6601,6923,7909,8381,8320,8527,8697,8889,7240,7482,6404,6619,5350,5337,3652,3373,1760,2024
s1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0441,52838,0,0,0,0,0,0,0,0,0,0,496,34,4269,3450,6650,7234,6757,6752,5061,4714,2774,2808,1082,757
s0925,18204,1338,1810,2498,2558,1715,1804,1426,1534,1151,1228,432,710,0,0,0,0,0,0,0,0,0,0,0,0
s0172,8029,1073,1861,682,1000,822,995,688,898,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0067,29176,2274,2829,2669,1896,1611,1199,1698,1425,1853,1312,1721,1008,1822,1071,1705,1102,1053,924,0,4,0,0,0,0
s0255,41286,0,0,0,0,0,0,0,0,372,560,1498,1991,2671,3155,3419,3858,4938,4486,3902,3573,2350,2599,1016,898
s0664,106196,3025,3119,3356,3302,4193,3781,5328,5492,5660,6641,6586,7115,6536,7002,5108,5587,5149,5328,4013,3932,2382,2200,789,572
s0871,46211,1355,1418,1781,1915,1822,1871,2030,2362,2401,2828,2709,2963,2672,3031,2379,2670,1926,2308,1817,1690,999,761,297,206
s1243,20249,1022,941,1999,1085,1522,738,1939,460,3284,1127,2335,36,1321,0,354,0,396,0,711,0,920,59,0,0
s0473,25673,0,0,0,0,0,0,0,0,0,0,345,67,1685,1313,1935,1816,2643,2129,3649,3151,2587,2520,888,945
s0050,106001,3275,2828,3876,3865,4313,4182,5295,5415,5637,5999,7345,6376,6508,6933,5945,6304,4924,5184,3430,3022,1994,2100,467,784
s0240,118010,4373,3952,3979,4156,5189,4980,6669,6347,7552,7712,7959,7580,7010,7825,6646,6509,5153,5085,3124,3080,1603,1527,0,0
s0778,168430,4792,5065,5790,5619,6878,7006,8931,9221,9631,9936,10431,10535,10053,10074,8508,9135,7655,7385,5403,5250,4200,4381,1252,1299
s0530,77083,3386,3200,3224,3430,3145,3492,3460,4037,3948,4626,5003,5249,5001,5189,3979,4351,3279,3836,2252,2176,441,379,0,0
s0085,14603,0,0,0,0,1608,0,2406,16,2765,30,3405,0,2639,0,1414,0,304,0,0,2,0,13,1,0
s0414,72930,3057,2455,2454,2623,3385,3447,3830,3990,4755,5123,4689,5245,5060,4843,3621,3834,2957,3281,1480,1675,570,556,0,0
s0316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1252,17391,0,0,0,0,0,0,0,0,0,0,0,0,517,897,1107,1374,1390,1513,1908,1977,2467,2080,1153,1008
s0470,112142,3966,3216,2431,3155,4486,4131,5371,5509,6210,6479,6468,6979,7204,7241,6462,6395,5510,5590,3770,4312,2410,2399,1250,1198
s1305,66884,2414,2141,2349,2607,2484,2582,2860,3130,3392,3802,3927,4112,4226,4113,3606,3225,3266,3365,2871,2785,1577,1659,113,278
s0065,115285,3001,4043,3625,4079,3851,4259,4965,5118,5687,5863,6328,7029,7474,7875,5645,6839,5606,5689,4383,4399,3093,2986,1713,1735
s1156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1366,37097,0,0,0,0,0,0,51,0,0,256,782,1173,1776,2123,2767,3877,3535,4151,3483,3722,3059,3028,1562,1752
s0147,38926,0,0,0,0,0,0,0,0,0,0,1719,1075,2509,2080,2727,2463,5196,4149,5139,5089,2459,2623,907,791
s1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0249,26749,0,0,0,0,0,0,0,0,0,0,0,0,1308,932,2452,2121,3063,2640,3904,3150,2647,2763,909,860
s1073,125081,3541,3941,5057,5062,4753,5196,5740,6373,6957,7376,7587,8540,7969,8995,6442,7276,6001,6349,3873,3906,1971,1847,176,153
s0015,70517,0,0,0,0,0,207,880,1441,2089,2936,2451,4142,3785,5026,6690,7199,7758,6278,5928,4873,2943,2996,1388,1507
s0845,74613,1571,1713,2238,2333,2753,2567,3185,3375,3265,3877,3907,4233,4881,4793,4145,4291,3765,3853,3413,3081,2514,2252,1239,1369
s0063,29767,3603,5309,4640,5173,2980,4143,1052,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1003,7700,2364,752,789,485,929,275,707,0,755,0,507,137,0,0,0,0,0,0,0,0,0,0,0,0
s0314,35609,0,0,0,0,0,0,0,0,0,0,232,1060,2006,2790,2500,3142,2562,3715,3644,4638,3596,4001,974,749
s0382,76325,2914,2830,3618,3693,5272,4810,6017,5677,6191,6517,5600,5687,4899,4910,3380,3138,577,595,0,0,0,0,0,0
s0003,4561,871,837,907,552,488,648,145,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0365,86369,2557,2744,2837,2750,3206,3120,3963,4248,4446,5073,5213,5560,5170,5444,4560,4931,4078,4555,3493,3474,2093,1749,584,521
s0117,20610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,612,2101,1724,3186,2485,3352,3321,1379,1624
s0788,87513,2614,2783,3132,3062,3585,3793,4305,4545,4531,5310,5464,5718,5632,6078,4815,5032,4111,4376,2850,2750,1555,1472,0,0
s0279,36572,3307,3238,4204,3787,3386,3274,3083,3072,2382,2790,1851,2198,0,0,0,0,0,0,0,0,0,0,0,0
s0150,46696,0,0,0,0,0,0,0,0,626,840,1762,2449,3206,3364,2997,3407,4797,4987,5201,4838,3107,2584,1532,999
s1143,192668,4964,5026,6863,7421,7483,7275,9351,8690,10568,10842,11442,12582,12336,11542,10664,10053,9489,8423,7891,7623,4269,4449,1697,1725
s0945,73477,2128,2507,2417,2532,3038,2955,3277,3927,3723,4055,4459,4994,4495,4508,3431,3785,3362,3696,3096,3080,1611,1713,270,418
s0025,148,0,23,123,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1254,13883,518,33,2092,1012,3269,570,2679,227,2103,22,1175,0,157,0,26,0,0,0,0,0,0,0,0,0
s0390,55540,0,0,0,0,0,0,0,0,181,0,2750,1770,3672,3233,3804,3549,5771,4334,5784,5750,4537,5338,2611,2456
s0645,102734,2538,1932,3015,2829,4024,3688,5362,4596,6064,6082,7769,6809,8527,7399,6530,6290,4564,5000,4094,3159,1269,1194,0,0
s0682,47805,0,0,0,0,0,0,2,1,887,1026,2169,2160,3008,3507,3367,4210,4884,5966,4803,4453,2668,2544,1152,998
s0486,98362,0,0,0,0,0,0,3297,3736,5555,5666,8077,7335,9519,8728,8126,8134,6807,7590,4618,4481,2527,2617,752,797
s0647,3552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,377,949,984,487,528
s1228,96028,2598,2774,2606,2811,3268,3527,3417,4232,4988,5097,5543,5689,6288,6088,6140,5454,5538,5600,3872,3505,2581,2590,837,985
s0842,78639,2756,3124,2340,2770,3029,2959,4079,4075,4429,4279,4948,4946,5023,4006,4025,4094,4084,3392,2896,2721,1831,2001,429,403
s0674,119125,4565,3949,4279,4434,4344,4622,5504,6081,6349,6561,7378,7358,7345,7676,6390,6006,5648,5970,4189,4295,2291,2336,594,961
s0350,82207,2465,2505,3058,3216,3373,3299,4143,4022,4723,4557,5539,5252,4948,4960,4058,4223,3847,3863,2904,2808,1964,1904,132,444
s1184,32050,3098,3158,3442,3222,3001,2614,3022,2540,2659,2423,1949,922,0,0,0,0,0,0,0,0,0,0,0,0
s0602,79892,1954,1904,2543,2069,2870,2742,3782,3900,3943,4240,4481,4815,4798,5106,4558,4364,3859,3969,3419,3457,2522,2301,1185,1111
s1016,163140,4827,5637,5277,5672,6384,6565,7368,7526,8175,8377,9994,9714,9770,10186,8272,8980,7516,8043,6495,6223,4253,4228,1510,2148
s1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0982,203502,4447,4189,4843,5164,6262,7252,8188,9075,11530,10911,12605,11636,9659,13644,12332,13538,9988,11646,9229,9994,6649,6804,2857,1060
s0750,65519,1541,1788,2422,2617,2280,2228,3345,2845,3555,3869,4133,4070,4549,4033,3473,3562,3354,3335,2359,2516,1175,1478,505,487
s0439,134415,4406,4360,4135,4600,4979,4931,5947,5634,7218,6948,10208,9323,9369,9510,6261,7135,6163,7169,5655,4809,2795,2599,0,261
s0852,21861,0,0,0,0,0,0,297,0,1419,560,1985,1916,1290,1981,2053,2531,1573,1898,1894,1404,611,449,0,0
s0511,126545,2739,2593,3737,4168,4728,4709,5744,5553,6287,6856,7016,6864,7738,7723,7780,6936,5603,6166,5172,5320,3926,4174,2351,2662
s0825,50865,2092,1465,3207,752,4205,761,5637,782,5582,854,6247,567,6651,731,4808,699,3223,430,1512,660,0,0,0,0
s0019,106684,2867,2666,3157,3218,3587,3653,4958,4779,4757,6002,6845,6523,6412,6861,6056,6114,5291,5510,4251,4553,2966,2940,1550,1168
s0727,89531,1896,1953,3363,3627,3811,4154,4831,5585,5017,5200,5495,5588,5146,4380,4244,4108,4250,4299,3625,3322,2105,2179,586,767
s0139,19216,0,0,0,0,0,0,0,0,0,0,243,668,1015,1280,1126,1269,1741,1673,2385,2070,2186,2080,750,730
s1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0433,85213,2333,2371,3041,3011,3975,4025,4801,4905,5458,5572,6201,6009,5314,5780,3274,4399,3550,3879,3171,2162,901,901,74,106
s0037,69538,1883,2014,2395,2694,2984,3018,3102,3190,3820,4079,4189,4392,3930,4562,3383,3694,3287,3226,2429,2832,1591,1566,715,563
s0270,72451,0,0,0,0,0,0,557,1330,3233,3675,4304,4956,6884,9124,6933,8376,6153,6768,4120,3897,1473,668,0,0
s0553,69340,1448,1525,2129,2075,2484,2548,3337,3335,3836,3825,4233,4296,4568,4923,4176,4003,3269,3572,2792,2716,1425,1401,666,758
s1383,61209,0,0,0,0,0,0,0,0,0,0,935,1662,3558,4082,5059,6004,6967,7577,6997,6843,5321,4363,1228,613
s1122,14428,1065,999,1019,111,1281,143,1261,20,2018,789,1681,199,753,0,376,0,431,0,529,0,626,211,435,481
s0891,23858,1113,792,1453,279,2682,195,4353,16,4073,247,3604,0,2666,0,1494,0,848,0,43,0,0,0,0,0
s0594,88330,0,0,0,0,1029,1175,2725,3073,3887,4981,5327,5986,8487,8942,7016,7474,6491,6937,5412,4144,2806,1794,456,188
s1322,39576,0,0,0,0,0,0,0,0,260,305,2020,2011,3084,3060,3189,2883,3645,3407,3751,3832,2972,2591,1286,1280
s0166,67633,0,0,0,0,161,269,1741,1684,3070,3459,4629,3841,5375,5023,5488,5440,5306,5436,4605,3714,3105,2820,1386,1081
s0456,78821,2256,2240,2834,3070,3468,3676,4318,4450,4550,4587,5057,5540,4817,4949,4058,4225,3375,3490,2295,2553,1349,1375,158,131
s0209,9310,276,512,422,508,297,446,45,344,253,428,270,486,341,367,932,486,490,275,550,268,333,211,367,403
s1267,105046,3287,3229,3508,3371,4060,3619,4384,4488,5423,6078,6347,6352,6700,7031,5970,5903,4272,4884,4222,4451,2336,2263,1411,1457
s0185,9633,1197,2617,702,1526,590,1287,514,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0711,121400,3532,3282,4357,4492,5246,5376,6063,6727,5903,7105,7428,7259,7233,7334,5585,6252,5316,5945,4118,4012,3012,2828,1595,1400
s0861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1031,113951,3846,4376,3800,3438,4477,4326,5991,5288,6948,6759,8350,7909,7184,7405,6296,6154,5055,5115,3842,3473,1909,2010,0,0
s1236,16672,0,0,0,0,0,0,0,0,0,0,0,0,266,225,881,698,1380,953,2590,1854,3107,2670,916,1132
s0869,126957,3074,4098,4207,4778,4487,4960,5922,6035,6651,7417,7272,7992,8484,8200,6602,7126,5759,5821,4765,4891,2794,2966,1350,1306
s0908,107320,2725,2501,3488,3137,3471,3455,4786,4972,6078,5257,6652,6927,6960,8029,6888,6014,5174,5512,4103,3888,2426,2598,1231,1048
s0610,37766,4966,3553,3506,3711,2442,2673,2555,2357,2336,2127,2268,2109,1647,1516,0,0,0,0,0,0,0,0,0,0
s0457,115995,4625,4830,4515,4738,5751,5322,6175,6594,6791,7767,8485,9019,8148,8245,5908,6396,4154,4262,2117,2047,47,59,0,0
s0220,39740,0,0,0,0,0,0,0,0,138,107,1682,1237,2381,2279,3258,3367,4582,4643,3752,3978,2789,3016,1207,1324
s0850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s1036,18653,1471,1900,2750,2723,2230,2167,1558,1684,1050,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0472,64586,1829,1907,2040,2241,2557,2610,3218,3535,3279,3581,3711,3626,3690,4149,3345,3685,3168,3421,2989,3011,1317,1335,261,81
s0330,22990,0,0,0,0,0,0,0,0,0,0,0,0,920,0,1980,82,2967,2081,3945,4046,2588,2520,817,1044
s0402,98306,3258,3249,2853,3077,3371,4315,4523,4608,5764,5817,5758,6185,5789,6180,4602,5138,4243,4434,3953,4009,2464,2456,987,1273
